Effect Amount of damage,Flight Date,Phase of flight,Wildlife Size,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
None,1990.1.8,Climb,Large,Day,0,0,0,300
None,1990.1.9,Approach,Medium,Night,0,0,0,200
None,1990.1.11,Take-off run,Medium,Day,0,0,0,130
Substantial,1990.1.11,Take-off run,Small,Day,0,0,0,140
None,1990.1.12,Climb,Medium,Day,0,0,0,160
None,1990.2.2,Take-off run,Medium,Day,0,0,0,180
None,1990.2.6,Climb,Medium,Dusk,0,0,0,140
None,1990.2.22,Approach,Large,Night,0,0,0,190
None,1990.3.1,Climb,Medium,Day,0,0,0,180
None,1990.3.2,Take-off run,Medium,Dusk,0,0,0,130
Medium,1990.3.3,Climb,Large,Day,0,0,0,180
None,1990.3.8,Approach,Medium,Night,0,0,0,150
None,1990.3.9,Approach,Medium,Night,0,0,0,200
None,1990.3.9,Approach,Medium,Night,0,0,0,190
None,1990.3.9,Take-off run,Medium,Night,0,0,0,150
None,1990.3.13,Approach,Medium,Day,0,4175,4175,250
None,1990.3.19,Approach,Medium,Dusk,0,0,0,150
Minor,1990.3.22,Climb,Small,Day,0,0,0,160
None,1990.4.4,Approach,Medium,Night,0,0,0,135
Substantial,1990.4.7,Take-off run,Large,Day,0,0,0,
None,1990.4.7,Take-off run,Medium,Dusk,0,0,0,120
None,1990.4.9,Approach,Medium,Day,0,0,0,210
None,1990.4.15,Climb,Medium,Day,0,0,0,180
None,1990.4.16,Climb,Medium,Dawn,0,0,0,150
None,1990.4.18,Take-off run,Medium,Day,0,0,0,140
None,1990.4.19,Approach,Medium,Day,0,0,0,180
None,1990.4.19,Take-off run,Medium,Night,0,0,0,140
None,1990.4.19,Approach,Small,Day,0,0,0,235
None,1990.4.20,Approach,Medium,Day,0,0,0,105
None,1990.4.23,Approach,Medium,Dawn,0,0,0,190
None,1990.4.23,Take-off run,Medium,Night,0,0,0,160
None,1990.4.24,Approach,Medium,Day,0,0,0,200
None,1990.4.25,Approach,Medium,Dusk,0,0,0,140
None,1990.4.25,Approach,Medium,Night,0,0,0,170
None,1990.4.26,Approach,Medium,Night,0,0,0,180
None,1990.4.27,Climb,Medium,Day,0,0,0,230
None,1990.4.27,Approach,Medium,Night,0,0,0,
None,1990.4.28,Approach,Medium,Night,0,0,0,127
Medium,1990.4.29,Approach,Medium,Night,0,0,0,250
Substantial,1990.4.30,Take-off run,Small,Day,0,0,0,140
None,1990.5.1,Climb,Large,Night,0,0,0,120
None,1990.5.1,Approach,Small,Day,0,0,0,124
None,1990.5.2,Approach,Medium,Night,0,0,0,130
None,1990.5.3,Descent,Small,Night,0,0,0,320
None,1990.5.5,Approach,Medium,Night,0,0,0,260
None,1990.5.5,Approach,Small,Day,0,0,0,150
None,1990.5.5,Approach,Small,Night,0,0,0,180
Minor,1990.5.7,Descent,Medium,Day,0,0,0,160
None,1990.5.7,Descent,Medium,Day,0,0,0,240
None,1990.5.8,Approach,Medium,Night,0,0,0,180
None,1990.5.8,Take-off run,Small,Day,0,0,0,135
None,1990.5.10,Approach,Medium,Day,0,0,0,135
None,1990.5.10,Approach,Medium,Night,0,0,0,220
None,1990.5.11,Climb,Medium,Night,0,0,0,250
None,1990.5.13,Approach,Small,Day,0,0,0,140
None,1990.5.13,Approach,Small,Day,0,0,0,160
None,1990.5.13,Climb,Small,Day,0,0,0,160
None,1990.5.13,Landing Roll,Small,Day,0,0,0,100
None,1990.5.14,Descent,Medium,Night,0,0,0,200
None,1990.5.14,Approach,Small,Night,0,0,0,140
None,1990.5.15,Take-off run,Large,Day,0,0,0,150
None,1990.5.15,Climb,Medium,Day,0,0,0,120
None,1990.5.15,Landing Roll,Medium,Day,0,0,0,135
None,1990.5.15,Landing Roll,Small,Day,0,0,0,150
None,1990.5.16,Landing Roll,Large,Day,0,0,0,70
None,1990.5.16,Approach,Small,Day,0,0,0,140
None,1990.5.18,Approach,Small,Night,0,0,0,122
None,1990.5.19,Approach,Small,Night,0,0,0,140
None,1990.5.20,Approach,Small,Night,0,0,0,120
None,1990.5.22,Approach,Small,Night,0,0,0,140
None,1990.5.22,Approach,Small,Night,0,0,0,140
None,1990.5.23,Take-off run,Medium,Day,0,0,0,150
None,1990.5.24,Approach,Medium,Day,0,0,0,250
None,1990.5.24,Approach,Small,Night,0,0,0,250
None,1990.5.26,Descent,Medium,Day,0,0,0,160
None,1990.5.26,Take-off run,Medium,Day,0,0,0,
None,1990.5.26,Climb,Medium,Night,0,0,0,180
None,1990.5.26,Approach,Small,Day,0,0,0,170
None,1990.5.27,Approach,Medium,Day,0,0,0,140
None,1990.5.27,Climb,Medium,Night,0,0,0,180
None,1990.5.27,Approach,Small,Day,0,0,0,170
None,1990.5.29,Approach,Medium,Night,0,0,0,130
None,1990.5.29,Take-off run,Medium,Night,0,0,0,130
None,1990.5.29,Take-off run,Medium,Night,0,0,0,135
None,1990.5.29,Climb,Small,Day,0,0,0,160
None,1990.5.30,Approach,Small,Day,0,0,0,130
None,1990.5.30,Landing Roll,Small,Day,0,0,0,140
None,1990.5.31,Approach,Small,Day,0,0,0,135
None,1990.5.31,Take-off run,Small,Day,0,0,0,120
None,1990.6.1,Approach,Medium,Day,0,0,0,146
None,1990.6.1,Landing Roll,Small,Day,0,0,0,120
None,1990.6.4,Descent,Small,Night,0,0,0,210
None,1990.6.5,Climb,Small,Day,0,0,0,180
None,1990.6.6,Approach,Small,Night,0,0,0,210
None,1990.6.7,Landing Roll,Medium,Day,0,0,0,120
None,1990.6.7,Take-off run,Medium,Day,0,0,0,200
None,1990.6.7,Approach,Small,Day,0,0,0,210
None,1990.6.8,Approach,Small,Day,0,0,0,135
None,1990.6.9,Approach,Small,Day,0,0,0,136
None,1990.6.9,Take-off run,Small,Day,0,0,0,130
None,1990.6.11,Landing Roll,Small,Day,0,0,0,
None,1990.6.12,Take-off run,Medium,Day,0,0,0,150
None,1990.6.12,Approach,Small,Day,0,0,0,135
None,1990.6.14,Approach,Medium,Night,0,0,0,250
None,1990.6.14,Landing Roll,Small,Day,0,0,0,120
None,1990.6.14,Landing Roll,Small,Dusk,0,0,0,85
Medium,1990.6.17,Climb,Medium,Night,0,0,0,180
None,1990.6.18,Approach,Medium,Dawn,48704,0,48704,130
None,1990.6.19,Take-off run,Medium,Night,0,0,0,130
None,1990.6.19,Approach,Small,Day,0,0,0,130
None,1990.6.20,Take-off run,Medium,Day,0,0,0,140
None,1990.6.21,Approach,Medium,Day,0,0,0,140
None,1990.6.22,Approach,Medium,Day,0,0,0,150
None,1990.6.23,Approach,Medium,Day,0,0,0,250
None,1990.6.23,Landing Roll,Medium,Day,0,0,0,110
None,1990.6.23,Landing Roll,Medium,Day,0,0,0,100
None,1990.6.23,Take-off run,Medium,Dusk,0,0,0,110
None,1990.6.23,Climb,Small,Day,0,0,0,
None,1990.6.26,Climb,Medium,Night,0,0,0,160
None,1990.6.26,Approach,Small,Day,0,0,0,140
None,1990.6.27,Landing Roll,Medium,Day,0,0,0,40
None,1990.6.28,Approach,Small,Day,0,0,0,130
None,1990.6.28,Approach,Small,Night,0,0,0,250
None,1990.6.30,Landing Roll,Small,Day,0,0,0,145
None,1990.7.1,Approach,Small,Day,0,0,0,140
None,1990.7.3,Approach,Medium,Night,0,0,0,137
None,1990.7.3,Approach,Small,Day,0,0,0,140
None,1990.7.5,Approach,Small,Day,0,0,0,125
None,1990.7.6,Take-off run,Medium,Day,0,0,0,100
None,1990.7.6,Approach,Small,Day,0,0,0,125
None,1990.7.7,Take-off run,Small,Day,0,0,0,140
Minor,1990.7.8,Take-off run,Medium,Day,0,0,0,140
None,1990.7.8,Approach,Medium,Day,0,0,0,
None,1990.7.8,Approach,Small,Day,0,0,0,134
None,1990.7.8,Climb,Small,Day,0,0,0,210
None,1990.7.9,Climb,Medium,Day,0,0,0,200
None,1990.7.10,Approach,Medium,Day,0,0,0,
None,1990.7.10,Approach,Small,Night,0,0,0,130
Minor,1990.7.11,Descent,Large,Day,0,0,0,350
None,1990.7.11,Landing Roll,Small,Dawn,0,0,0,130
None,1990.7.11,Approach,Small,Day,0,0,0,
None,1990.7.12,Approach,Small,Day,0,0,0,130
Substantial,1990.7.13,Take-off run,Small,Dawn,0,0,0,85
None,1990.7.13,Landing Roll,Small,Day,0,0,0,125
None,1990.7.15,Approach,Medium,Night,0,0,0,160
None,1990.7.15,Landing Roll,Small,Dusk,0,0,0,120
Minor,1990.7.16,Climb,Large,Dusk,0,0,0,130
None,1990.7.16,Approach,Small,Day,0,0,0,140
None,1990.7.16,Climb,Small,Day,0,0,0,120
None,1990.7.16,Climb,Small,Day,0,0,0,120
None,1990.7.17,Approach,Small,Day,0,0,0,130
None,1990.7.17,Take-off run,Small,Day,0,0,0,
None,1990.7.19,Take-off run,Small,Day,0,0,0,125
None,1990.7.20,Climb,Medium,Day,0,0,0,190
None,1990.7.21,Landing Roll,Large,Day,0,0,0,
None,1990.7.22,Approach,Small,Day,0,0,0,140
None,1990.7.23,Landing Roll,Medium,Night,0,0,0,120
None,1990.7.23,Take-off run,Medium,Night,0,0,0,
Minor,1990.7.23,Climb,Small,Day,0,0,0,140
Minor,1990.7.24,Climb,Small,Day,0,0,0,220
None,1990.7.25,Approach,Small,Day,0,0,0,120
None,1990.7.26,Approach,Medium,Day,0,0,0,135
None,1990.7.26,Approach,Small,Day,0,0,0,130
None,1990.7.28,Take-off run,Medium,Day,0,0,0,120
None,1990.7.29,Approach,Medium,Day,0,0,0,100
None,1990.7.29,Climb,Small,Day,0,0,0,
None,1990.7.29,Climb,Small,Day,0,0,0,250
None,1990.7.30,Approach,Large,Day,0,0,0,130
None,1990.7.30,Approach,Small,Day,0,0,0,128
None,1990.7.31,Climb,Small,Day,0,0,0,120
None,1990.8.1,Approach,Small,Day,0,0,0,125
None,1990.8.1,Approach,Small,Night,0,0,0,170
Medium,1990.8.2,Approach,Medium,Day,0,0,0,
None,1990.8.2,Take-off run,Small,Day,0,0,0,110
None,1990.8.3,Approach,Medium,Day,0,0,0,210
None,1990.8.4,Approach,Medium,Day,0,0,0,165
None,1990.8.4,Climb,Medium,Night,0,0,0,250
None,1990.8.5,Approach,Small,Day,0,0,0,132
None,1990.8.5,Landing Roll,Small,Day,0,0,0,80
None,1990.8.5,Landing Roll,Small,Day,0,0,0,130
None,1990.8.6,Approach,Medium,Day,0,0,0,165
None,1990.8.6,Landing Roll,Small,Day,0,0,0,122
None,1990.8.6,Take-off run,Small,Day,0,0,0,100
