공항명,항공기 제조사 모델,충격 정도,비행날짜,항공사,출발지(주),비행의 단계,야생동물 크기,야생동물 종,시간대,기타 비용,수리 비용,총 비용,지시 속도(노트)
BARKSDALE AIR FORCE BASE ARPT,T-38A,,1990-01-08,MILITARY,루이지애나,상승,크다,튀르키예 독수리,낮,0,0,0,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-01-09,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-01-11,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,낮,0,0,0,130
NEW ORLEANS INTL,B-737-300,엄청난,1990-01-11,SOUTHWEST AIRLINES,루이지애나,이륙,작다,비둘기,낮,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-01-12,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,낮,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-02-02,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,낮,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-02-06,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,황혼,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727,,1990-02-22,FEDEX EXPRESS,워싱턴 DC,진입,크다,알 수 없는 새 - 큼,밤,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-03-01,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,낮,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-03-02,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,황혼,0,0,0,130
WASHINGTON DULLES INTL ARPT,BA-146,중간,1990-03-03,AIR WISCONSIN AIRLINES,워싱턴 DC,상승,크다,알 수 없는 새 - 큼,낮,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-03-08,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,150
RONALD REAGAN WASHINGTON NATL,C-141B,,1990-03-09,MILITARY,워싱턴 DC,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,200
CHARLESTON AFB/INTL ARPT,C-141B,,1990-03-09,MILITARY,사우스 캐롤라이나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-03-09,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,,1990-03-13,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,4175,4175,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-03-19,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,황혼,0,0,0,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,소소한,1990-03-22,TRANS STATES AIRLINES,미주리,상승,작다,흰점찌르레기,낮,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-04,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,135
LAGUARDIA NY,B-737-400,엄청난,1990-04-07,US AIRWAYS*,뉴욕,이륙,크다,캐나다 거위,낮,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-07,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,황혼,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-09,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-15,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,낮,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-16,MILITARY,루이지애나,상승,중간,알 수 없는 새/박쥐,새벽,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-18,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,낮,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-19,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1990-04-19,MILITARY,루이지애나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,140
NEW ORLEANS INTL,B-727,,1990-04-19,AMERICAN AIRLINES,루이지애나,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,,1990-04-20,UNKNOWN,노스 캐롤라이나,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-23,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,새벽,0,0,0,190
CHARLESTON AFB/INTL ARPT,C-141B,,1990-04-23,MILITARY,사우스 캐롤라이나,이륙,중간,알 수 없는 새/박쥐,밤,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,,1990-04-24,MILITARY,사우스 캐롤라이나,진입,중간,알 수 없는 새/박쥐,낮,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-04-25,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,황혼,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-04-25,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,,1990-04-26,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,180
LOS ANGELES INTL,B-737-300,,1990-04-27,US AIRWAYS*,켈리포니아,상승,중간,알 수 없는 새 - 중간,낮,0,0,0,230
CHICAGO O'HARE INTL ARPT,B-727,,1990-04-27,AMERICAN AIRLINES,일리노이,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,
PORTLAND INTL (OR),B-727,,1990-04-28,AMERICAN AIRLINES,오리건,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,127
WASHINGTON DULLES INTL ARPT,B-727,중간,1990-04-29,AMERICAN AIRLINES,워싱턴 DC,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,엄청난,1990-04-30,US AIRWAYS*,플로리다,이륙,작다,알 수 없는 새 - 작음,낮,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727,,1990-05-01,UNITED AIRLINES,일리노이,상승,크다,흰꼬리사슴,밤,0,0,0,120
HOUSTON-HOBBY,B-737-500,,1990-05-01,SOUTHWEST AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,124
CHICAGO O'HARE INTL ARPT,B-767-200,,1990-05-02,AMERICAN AIRLINES,일리노이,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,130
SAN ANTONIO INTL,B-737-200,,1990-05-03,SOUTHWEST AIRLINES,텍사스,하강,작다,알 수 없는 새 - 작음,밤,0,0,0,320
SACRAMENTO INTL,MD-80,,1990-05-05,AMERICAN AIRLINES,켈리포니아,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,260
WILL ROGERS WORLD ARPT,B-727-200,,1990-05-05,AMERICAN AIRLINES,오클라호마,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,150
ATLANTA INTL,B-767,,1990-05-05,DELTA AIR LINES,조지아,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,180
INDIANAPOLIS INTL,BE-90  KING,소소한,1990-05-07,BUSINESS,인디아나,하강,중간,알 수 없는 새 - 중간,낮,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,,1990-05-07,AMERICAN AIRLINES,텍사스,하강,중간,알 수 없는 새 - 중간,낮,0,0,0,240
KANSAS CITY INTL,E-4B,,1990-05-08,MILITARY,미주리,진입,중간,알 수 없는 새 - 중간,밤,0,0,0,180
MINETA SAN JOSE INTL,MD-80,,1990-05-08,AMERICAN AIRLINES,켈리포니아,이륙,작다,미국울새,낮,0,0,0,135
METRO OAKLAND INTL,MD-82,,1990-05-10,AMERICAN AIRLINES,켈리포니아,진입,중간,알 수 없는 새 - 중간,낮,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1990-05-10,MILITARY,루이지애나,진입,중간,알 수 없는 새/박쥐,밤,0,0,0,220
CHICAGO O'HARE INTL ARPT,MD-82,,1990-05-11,AMERICAN AIRLINES,일리노이,상승,중간,알 수 없는 새 - 중간,밤,0,0,0,250
NASHVILLE INTL,B-727,,1990-05-13,AMERICAN AIRLINES,테네시,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,,1990-05-13,AMERICAN AIRLINES,텍사스,진입,작다,알 수 없는 새 - 작음,낮,0,0,0,160
NASHVILLE INTL,MD-80,,1990-05-13,AMERICAN AIRLINES,테네시,상승,작다,흰점찌르레기,낮,0,0,0,160
MINNEAPOLIS-ST PAUL INTL,DC-9,,1990-05-13,AMERICAN AIRLINES,미네소타,착륙,작다,미국울새,낮,0,0,0,100
PORTLAND INTL (OR),MD-80,,1990-05-14,AMERICAN AIRLINES,오리건,하강,중간,알 수 없는 새 - 중간,밤,0,0,0,200
LAMBERT-ST LOUIS INTL,MD-80,,1990-05-14,AMERICAN AIRLINES,미주리,진입,작다,알 수 없는 새 - 작음,밤,0,0,0,140
CHICAGO O'HARE INTL ARPT,KC-135E,,1990-05-15,MILITARY,일리노이,이륙,크다,코요테,낮,0,0,0,150
CHICAGO O'HARE INTL ARPT,C-130,,1990-05-15,MILITARY,일리노이,상승,중간,알 수 없는 새 - 중간,낮,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,,1990-05-15,AMERICAN AIRLINES,텍사스,착륙,중간,미국까마귀,낮,0,0,0,135
SALT LAKE CITY INTL,KC-135E,,1990-05-15,MILITARY,유나,착륙,작다,쏙독새,낮,0,0,0,150
