US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
146083,146083,,8000000,Jun 12 1998,R,,,,6.1,1071
10876,10876,,300000,Aug 07 1998,R,,,,6.9,207
203134,203134,,250000,Aug 28 1998,,,,,6.8,865
373615,373615,,300000,Sep 11 1998,,,,13,,
1009819,1087521,,1000000,Oct 09 1998,R,,Contemporary Fiction,62,3.4,165
24551,2624551,,1600000,Jan 15 1999,,,,,,
44705,44705,,6000,Apr 04 1999,R,,,,7.7,15133
6026908,6026908,,1600000,Apr 09 1999,R,,Contemporary Fiction,,3.8,353
1641825,6341825,,40000000,Jul 01 1986,R,,,25,5.8,3275
20400000,20400000,,6000000,Dec 31 2046,,,,86,7,2906
37600000,37600000,,1000000,Oct 07 1963,,,,81,7,4035
37402877,37402877,,10000000,Dec 11 1968,,,,84,7.5,9111
13129846,13129846,,2000000,Dec 25 1962,,,,97,8.4,82786
29548291,29548291,,25000000,Sep 23 1970,,,,,,
5228617,5228617,,100000,Mar 01 1987,,,,87,6.8,1532
3000000,3000000,,100000,Sep 17 2020,,,,,,
2000000,2000000,,5200000,Aug 01 2044,,,,,7,451
5000000,5000000,,22000000,Jan 01 1970,,,,,6.1,858
80000000,80000000,,13500000,Oct 05 1956,,,,90,2.5,1677
0,0,,340000,Apr 13 1957,,,,,8.9,119101
57141459,168841459,,29000000,Dec 27 1995,R,,Science Fiction,,8.1,169858
0,0,,4000000,Nov 09 1972,PG,,Historical Fiction,57,7,4099
34175000,94875000,,32000000,Dec 14 1979,,,Historical Fiction,33,5.6,13364
18435,18435,,1900000,Jun 29 2007,Not Rated,,,,6.3,365
56700000,68700000,,10500000,Apr 02 1968,,,Science Fiction,96,8.4,160342
28200000,28200000,,5000000,Dec 23 1954,,,,92,,
8000000,8000000,,200000,Dec 24 2016,,,,,,
72544,72544,,2000000,Apr 15 1998,R,,,,6.9,1417
985341,1027228,,500000,Jul 30 1999,R,,Contemporary Fiction,77,7.1,2810
0,22139590,,20000000,Apr 03 2008,R,,Historical Fiction,,,
167780960,167780960,,15000000,Nov 25 1987,,,Contemporary Fiction,,5.7,16764
11744960,11744960,,20000000,May 06 1994,PG,,Contemporary Fiction,17,3.2,3107
75828,172569,,1500000,Sep 28 2005,R,,,,6,873
2300000,2300000,,439000,Mar 09 2033,,,,95,7.7,4263
4301000,4301000,,4000000,Dec 25 1995,R,,Contemporary Fiction,14,6.4,34328
42488161,42488161,,6500000,May 22 1981,,,Contemporary Fiction,71,7,1814
52700832,242895809,,4500000,Mar 09 1994,R,,Contemporary Fiction,96,7.1,39003
84689,84689,,350000,Oct 18 2006,Not Rated,,,97,7.4,439
10000000,10000000,,17000000,Dec 31 1962,,,,57,6.8,2104
6734844,6734844,,18000000,Feb 21 1986,,,Contemporary Fiction,,5.4,12731
999811,132999811,,113500000,Jul 04 2008,Not Rated,,Fantasy,,4.9,5620
54243125,54243125,,70000000,Aug 09 1989,PG-13,,Science Fiction,88,7.6,51018
20257000,20257000,,7000000,Feb 12 1988,,,Contemporary Fiction,10,4.6,3856
72217396,107217396,,12000000,Feb 04 1994,PG-13,,Contemporary Fiction,49,6.6,63543
108360063,212400000,,30000000,Nov 10 1995,PG-13,,Contemporary Fiction,,5.6,51275
12947763,12947763,,5000000,Mar 27 1986,,,Contemporary Fiction,31,,
64359,64359,,4000000,Mar 26 1999,R,,,,5.7,546
8000000,8000000,,3768785,May 17 1950,,,,100,7.1,1326
0,0,,3000000,Jul 28 1951,,,,20,6.7,63458
669276,669276,,24000000,Aug 25 1995,G,,Fantasy,,7.3,893
7900000,7900000,,12000000,Oct 24 1960,PG-13,,Historical Fiction,54,5.9,10063
4000000,4000000,,2000000,Dec 31 1937,,,,,,
36299670,36299670,,32000000,Jan 15 1993,R,,Dramatization,71,3.2,124
274299,274299,,14000000,Jan 24 2003,Not Rated,,,,7.4,5416
115000000,140000000,,777000,Aug 11 1973,,,,97,7.6,30952
4000000,4000000,,350000,Dec 31 1986,,,,,3.7,2495
60022813,107822813,,62000000,Nov 17 1995,PG-13,,Contemporary Fiction,90,6.8,22780
38251425,38251425,,4000000,Apr 20 1977,,,,98,8.2,65406
9598,9598,,2500000,Sep 08 2000,Not Rated,,,,6.1,6266
24103594,24103594,,6500000,Apr 02 1993,PG,,Historical Fiction,62,5.8,3095
18600000,24600000,,3000000,Dec 31 1959,,,,91,8.4,36485
78800000,78800000,3479242,31500000,Aug 15 1979,R,,Historical Fiction,98,8.6,173141
53208180,53208180,,31000000,Jul 18 1990,,,Science Fiction,85,6.2,20528
0,14900000,,16500000,Dec 25 2007,R,,Historical Fiction,,6.4,6251
23616,23616,,600000,Oct 19 2007,PG-13,,Contemporary Fiction,,5.1,77
15200000,15200000,,150000,Jan 01 1971,,,,,5.6,1769
8158,8158,,989000,Jun 01 2007,Not Rated,,,17,4.4,200
42000000,42000000,,6000000,Oct 17 1956,PG,,,73,5.6,21516
0,0,,9000000,Oct 10 1968,,,Science Fiction,74,5.7,10794
20000000,20000000,,11000000,Dec 31 1974,,,,94,8.1,39909
800000,800000,,4000000,Mar 01 1987,,,,,5.4,236
63658910,246100000,,30000000,Aug 04 1995,G,,Contemporary Fiction,98,7.3,35644
3127472,3127472,,2900000,Mar 24 2006,R,104,Contemporary Fiction,,,
16581575,16581575,,50000000,Jul 01 1994,PG,,Contemporary Fiction,21,5,8332
4496583,4496583,,35000000,Apr 16 1993,,,,,7.7,10142
12671300,12671300,,8000000,Aug 04 2006,Not Rated,,Contemporary Fiction,67,6.9,151
210609762,381109762,,19000000,Jul 03 1985,,,Science Fiction,96,8.4,201598
118450002,332000000,,40000000,Nov 22 1989,,,Science Fiction,64,7.5,87341
87666629,243700000,,40000000,May 24 1990,,,Science Fiction,71,7.1,77541
102308900,102308900,,6000000,Oct 24 1969,,,Historical Fiction,90,8.2,57602
65647413,141247413,,23000000,Apr 07 1995,R,,Contemporary Fiction,39,6.6,53929
8801940,8801940,,10000000,Oct 26 1984,,,Contemporary Fiction,84,6.4,9738
5000000,5000000,,210000,Jun 13 1953,,,,90,,
773490,773490,,6000000,Aug 30 1991,,,Fantasy,17,3.3,1327
10751126,10751126,,5000000,Aug 20 1982,,,Fantasy,50,5.7,5734
9000000,9000000,,3900000,Dec 30 2025,,,,,8.2,58510
73000000,73000000,,15000000,Nov 18 1959,,,,91,8.2,58510
